wmpid,full_name,opponents,opponent_names
WMPID807,Dan Kildee,WMPID5127|WMPID347|WMPID5155,David Canny|Paul Junge|Dan Kildee|Kathy Goodwin
WMPID4265,Ethan Hobson,WMPID2437|WMPID5130|WMPID2182,Ethan Hobson|Bartley Goldberg|Norman Peterson|Ezra Scott
WMPID2437,Bartley Goldberg,WMPID4265|WMPID5130|WMPID2182,Ethan Hobson|Bartley Goldberg|Norman Peterson|Ezra Scott
WMPID5130,Norman Peterson,WMPID4265|WMPID2437|WMPID2182,Ethan Hobson|Bartley Goldberg|Norman Peterson|Ezra Scott
WMPID2182,Ezra Scott,WMPID4265|WMPID2437|WMPID5130,Ethan Hobson|Bartley Goldberg|Norman Peterson|Ezra Scott
WMPID3834,Whittney Williams,WMPID896,Whittney Williams|Debbie Dingell
WMPID3995,Thomas More Barrett,WMPID5116|WMPID895|WMPID1149,Thomas More Barrett|Leah Dailey|Tim Walberg|Elissa Slotkin
WMPID5116,Leah Dailey,WMPID3995|WMPID895|WMPID1149,Thomas More Barrett|Leah Dailey|Tim Walberg|Elissa Slotkin
WMPID3249,Brian Steven Jaye,WMPID5014|WMPID5161,Brian Steven Jaye|Jacob Kelts|Jim Walkowicz
WMPID5014,Jacob Kelts,WMPID3249|WMPID5161,Brian Steven Jaye|Jacob Kelts|Jim Walkowicz
WMPID5161,Jim Walkowicz,WMPID3249|WMPID5014,Brian Steven Jaye|Jacob Kelts|Jim Walkowicz
WMPID3841,Eric James Borrell,WMPID5154|WMPID351|WMPID1537|WMPID4164|WMPID5134,Mike Saliba|Lisa McClain|Eric James Borrell|John James|Carl Marlinga|Andrea Kirby
WMPID1537,John James,WMPID5154|WMPID351|WMPID3841|WMPID4164|WMPID5134,Mike Saliba|Lisa McClain|Eric James Borrell|John James|Carl Marlinga|Andrea Kirby
WMPID4164,Carl Marlinga,WMPID5154|WMPID351|WMPID3841|WMPID1537|WMPID5134,Mike Saliba|Lisa McClain|Eric James Borrell|John James|Carl Marlinga|Andrea Kirby
WMPID3578,Mark Ambrose,WMPID1152,Mark Ambrose|Haley Stevens
WMPID3139,Shri Thanedar,WMPID3170|WMPID4220|WMPID4817|WMPID5107,Shri Thanedar|Christopher Dardzinski|Martell De'Angelo Bivings|Anthony Michael Carbonaro|Simone Coleman
WMPID2233,Steven Elliott,WMPID5120|WMPID1153,Steven Elliott|Gary Walkowicz|Rashida Tlaib
WMPID3170,Christopher Dardzinski,WMPID3139|WMPID4220|WMPID4817|WMPID5107,Shri Thanedar|Christopher Dardzinski|Martell De'Angelo Bivings|Anthony Michael Carbonaro|Simone Coleman
WMPID4220,Martell De'Angelo Bivings,WMPID3139|WMPID3170|WMPID4817|WMPID5107,Shri Thanedar|Christopher Dardzinski|Martell De'Angelo Bivings|Anthony Michael Carbonaro|Simone Coleman
WMPID4817,Anthony Michael Carbonaro,WMPID3139|WMPID3170|WMPID4220|WMPID5107,Shri Thanedar|Christopher Dardzinski|Martell De'Angelo Bivings|Anthony Michael Carbonaro|Simone Coleman
WMPID5107,Simone Coleman,WMPID3139|WMPID3170|WMPID4220|WMPID4817,Shri Thanedar|Christopher Dardzinski|Martell De'Angelo Bivings|Anthony Michael Carbonaro|Simone Coleman
WMPID2118,Brad Finstad,WMPID3308|WMPID4966,Brad Finstad|Jeffrey Ettinger|Brian Abrahamson
WMPID3308,Jeffrey Ettinger,WMPID2118|WMPID4966,Brad Finstad|Jeffrey Ettinger|Brian Abrahamson
WMPID4966,Brian Abrahamson,WMPID2118|WMPID3308,Brad Finstad|Jeffrey Ettinger|Brian Abrahamson
WMPID4223,Tom Weiler,WMPID1156,Tom Weiler|Dean Phillips
WMPID2397,May Lor Xiong,WMPID367,Betty McCollum|May Lor Xiong
